"pagos","gratis","carga.paga","carga.gratis","correio"
258,0,5760,0,0
8456,93,176452,9464,0
2192,27,20394,0,0
3617,30,95737,0,0
6731,66,238304,10097,0
1589,25,20022,0,0
3097,42,93083,0,0
8161,70,214822,4435,0
2093,23,64086,0,0
3502,35,76723,0,0
8739,72,303666,3680,0
2003,25,57352,165,0
3361,29,63683,14659,0
8608,49,145605,1715,0
2259,24,32215,0,0
3423,14,71886,0,0
8309,74,177138,0,0
2064,33,61632,0,0
3135,26,86259,0,0
6951,58,140770,0,0
1382,9,43922,0,0
3044,24,99110,0,0
8277,86,131151,0,0
2116,17,44417,0,0
3177,42,71982,0,0
7741,52,151480,0,0
1884,22,63138,0,0
239,3,13665,0,0
3310,38,92031,0,0
7241,60,189878,0,0
1597,16,89237,0,0
2799,29,104217,0,0
6290,43,180185,545,0
1640,10,75499,0,0
2625,24,95186,202,0
8068,66,266553,0,0
2009,21,53598,0,0
3161,32,65357,0,0
11237,282,444884,7414,0
14858,115,479396,8486,1079
265,0,4475,135,0
10006,185,384529,6697,0
12765,105,493026,8415,1260
10758,167,381310,7172,0
15267,162,689917,9459,7595
9300,103,412478,5981,25
13393,72,513141,7070,6444
2101,46,12493,841,0
11289,135,398032,7412,15
17643,109,575487,9493,12253
2434,31,7943,0,0
10778,116,506630,7176,0
16936,106,570183,8934,9138
2308,44,3432,808,0
718,16,37649,778,0
9976,181,490199,9033,0
17340,77,480998,9570,11015
2402,44,2592,1179,0
380,1,21294,239,0
10507,137,335687,7771,456
18738,73,574998,9462,8866
2262,33,8880,1179,0
10430,141,294298,7648,22
15679,169,696313,10160,6997
265,0,18070,178,774
2190,49,15103,1052,0
9865,149,271276,7739,0
14794,86,624625,8929,7082
180,2,28605,178,0
251,9,2844,135,0
2757,56,25613,1351,0
12808,199,382616,9577,0
14569,155,689871,13579,9567
2906,52,35047,1496,0
14120,278,552866,9818,0
16770,148,621127,10539,21854
7706,318,45221,0,3
13358,320,226400,0,0
6360,278,47211,0,3
10414,262,249460,0,0
6365,336,181405,0,3
11275,258,267150,2946,0
7710,211,128727,0,1
12421,179,194915,0,0
7560,175,120631,0,0
12440,267,133149,0,0
7418,136,178539,0,16
12584,233,177377,0,0
6135,201,114014,0,0
12130,300,145200,0,0
269,5,0,0,0
6861,209,34515,0,80
12137,356,123239,0,0
7268,224,22124,0,5
13354,318,163144,0,0
6072,173,33438,0,0
12055,211,141218,0,0
5401,189,33980,0,7
13025,244,111464,0,0
6752,186,36877,0,0
15888,270,140803,0,40
6090,257,241782,0,0
5504,301,268359,0,0
6241,311,213392,0,0
6238,160,220287,0,0
0,0,10956,0,0
0,0,5575,0,0
4828,177,168530,0,0
10296,405,295368,0,0
10160,411,282009,0,0
11658,401,267642,0,0
8117,367,174253,0,0
7333,341,200494,0,0
6857,312,184439,0,0
208,25,0,0,0
8431,375,206740,0,0
5332,237,182260,0,0
7838,352,403546,0,546
4292,283,275432,0,99
6191,210,518823,0,0
4461,224,289936,0,10
7832,241,556580,0,0
5160,204,316836,0,0
8501,249,504517,0,0
5928,153,242482,0,38
8622,181,519635,0,383
5935,161,399666,0,0
8157,160,449590,0,0
5443,191,388410,0,0
7432,189,461071,0,0
5726,193,349802,0,0
7805,227,470585,0,0
5850,180,372807,0,0
7843,198,569923,0,0
4933,209,365010,0,0
6963,201,572497,0,0
5004,175,492363,0,0
7126,221,633963,0,0
5828,238,410645,0,0
8682,269,568984,0,0
838,0,42485,0,0
1224,0,26882,0,11018
636,0,41475,0,0
1275,0,22026,0,9909
1061,0,46605,0,0
1054,0,23314,0,7185
1319,0,61100,0,0
1093,0,43810,0,5722
1491,0,39010,0,0
1397,0,51060,0,12942
1107,0,33920,0,0
1424,0,76892,0,13287
1361,0,41175,0,0
1200,0,42588,0,9319
1473,0,64679,0,0
1325,0,29243,0,6454
1341,0,61985,0,0
1685,0,36324,0,14833
898,0,39170,0,0
1479,0,50666,0,14596
860,0,67266,0,3392
1041,0,40553,0,21525
816,0,66984,0,0
1197,0,22837,0,9310
986,0,14723,0,0
1182,0,14048,0,0
983,0,4913,0,0
925,0,11719,0,0
923,0,5241,0,0
944,0,11527,0,0
972,0,24784,0,0
983,0,0,0,0
937,0,6494,0,0
990,0,9207,0,0
976,0,4565,0,0
245,0,4579,0,0
973,0,188,0,0
1223,0,11606,0,0
1352,0,9681,0,0
978,0,18159,0,0
2269,0,5842,0,0
953,0,2865,0,0
2039,0,254,0,0
1204,0,0,0,0
2082,0,13452,0,0
962,0,4100,0,0
1601,0,23464,0,0
1158,0,9607,0,0
1992,0,37883,0,0
922,0,16135,0,0
2120,0,38496,0,0
976,0,14241,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,4080,0,0
0,0,23243,0,0
0,0,0,0,0
0,0,244089,0,0
0,0,3253,0,0
0,0,0,0,0
0,0,0,0,0
0,0,461517,0,0
0,0,109283,0,0
0,0,456522,0,0
0,0,38655,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3468,0,0
0,0,0,0,0
0,0,29,0,0
0,0,110642,0,0
0,0,90211,0,0
0,0,0,0,0
0,0,30395,0,0
0,0,615454,0,0
0,0,177754,0,0
0,0,571213,0,0
0,0,34383,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1845,0,0
0,0,0,0,0
0,0,4292,0,0
0,0,21732,0,0
0,0,0,0,0
0,0,353300,0,0
0,0,0,0,0
0,0,223042,0,0
0,0,439177,0,0
0,0,151765,0,0
0,0,503809,0,0
0,0,36184,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,12,0,0
0,0,0,0,0
0,0,7132,0,0
0,0,100603,0,0
0,0,0,0,0
0,0,444063,0,0
0,0,293391,0,0
0,0,0,0,0
0,0,593914,0,0
0,0,129509,0,0
0,0,527017,0,0
0,0,63430,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,34179,0,0
0,0,44470,0,0
0,0,14571,0,0
0,0,0,0,0
0,0,70653,0,0
0,0,0,0,0
0,0,0,0,0
0,0,275854,0,0
0,0,248469,0,0
0,0,0,0,0
0,0,562175,0,0
0,0,82389,0,0
0,0,162891,0,0
0,0,549696,0,0
0,0,25869,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2603,0,0
0,0,381569,0,0
0,0,0,0,0
0,0,0,0,0
0,0,647167,0,0
0,0,436276,0,0
0,0,127606,0,0
0,0,470568,0,0
0,0,33098,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,28487,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1869,0,0
0,0,173562,0,0
0,0,0,0,0
0,0,236188,0,0
0,0,0,0,0
0,0,531897,0,0
0,0,102610,0,0
0,0,374002,81590,0
0,0,42053,5929,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,56612,0,0
0,0,10220,0,0
0,0,0,0,0
0,0,59,0,0
0,0,0,0,0
0,0,7142,0,0
0,0,28112,0,0
0,0,0,0,0
0,0,129806,0,0
0,0,19627,0,0
0,0,715401,0,0
0,0,165543,0,0
0,0,503749,0,0
0,0,52616,0,0
0,0,0,0,0
0,0,4142,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3507,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5654,0,0
0,0,37311,0,0
0,0,0,0,0
0,0,217950,0,0
0,0,192145,0,0
0,0,555045,0,0
0,0,111250,0,0
0,0,544448,0,0
0,0,34405,0,0
0,0,0,0,0
0,0,65261,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1058,0,0
0,0,0,0,0
0,0,20656,0,0
0,0,0,0,0
0,0,173497,0,0
0,0,489582,0,0
0,0,668147,0,0
0,0,102723,0,0
0,0,457951,0,0
0,0,66417,0,0
0,0,0,0,0
0,0,77020,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,45881,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2021,0,0
0,0,30397,0,0
