"pagos","gratis","carga.paga","carga.gratis","correio"
4754,112,19,0,0
5355,183,111934,0,0
3471,17,157,0,0
1982,61,5809,0,0
5703,216,151416,0,0
13736,476,314169,0,185
8551,258,439484,0,0
6550,193,320354,0,0
4827,74,135411,0,0
20954,638,523158,0,41003
3383,58,128,0,0
3114,98,77024,0,0
2127,24,23,0,0
888,63,4878,0,0
3974,175,188903,0,0
8354,381,366052,0,252
6618,218,354408,0,720
4923,149,386653,0,0
3549,65,139441,0,0
14509,548,684425,0,36288
3983,67,29,0,0
3650,136,84920,0,0
2142,42,0,0,0
4254,232,449968,0,0
5712,316,410414,0,101
7466,312,386258,0,3695
5988,151,535625,0,0
5500,82,224700,0,0
15572,613,802280,0,50176
0,0,0,0,0
0,0,0,0,0
4158,115,27003,0,0
3901,139,90720,0,0
2241,29,4,0,0
5476,332,408530,0,1819
6332,344,481451,0,129
7121,293,478403,0,9898
0,0,0,0,0
7395,167,477178,0,0
5869,134,193649,0,0
17587,692,1057631,0,53922
0,0,0,0,0
476,14,28150,0,1099
4107,72,2863,0,0
4914,148,109926,0,0
2209,33,3314,0,0
5861,226,199810,0,1460
6649,351,328951,0,125
7480,357,367537,0,10868
7772,180,441299,0,0
5790,92,186641,0,0
18204,624,746886,0,42490
0,0,0,0,0
272,5,16439,0,0
3766,58,13,0,0
3293,112,132926,0,0
2560,27,0,0,0
4672,196,338498,0,0
5918,324,463838,0,1764
7023,388,352877,0,10881
6286,161,441243,0,521
6898,80,223395,0,0
17962,532,946093,0,54452
3714,121,52,0,0
3779,133,142110,0,0
2161,38,166,0,0
6244,283,393064,0,0
6887,323,515512,0,130
6383,573,370594,0,12756
6546,267,483111,0,4
7185,118,191380,0,0
16977,696,902889,0,49665
4051,120,98,0,0
2364,106,67010,0,0
2413,38,15,0,0
5368,191,262821,0,0
7270,343,411474,0,278
7586,479,431599,0,15231
7616,177,505021,0,0
7106,138,289304,0,0
16897,685,986170,2726,55247
170,1,12656,0,0
3782,87,0,0,9
2295,37,46,0,0
4052,160,217363,0,0
6746,318,291829,0,3109
5874,406,436680,0,18608
6609,177,487336,0,661
5615,76,265513,0,0
13104,524,640682,0,50116
159,12,11679,0,2237
4024,86,2,0,0
2360,42,0,0,0
4033,132,170860,0,204
6488,303,304343,0,132
7518,353,483068,0,20376
6324,181,494345,0,0
5387,98,239597,0,0
13297,588,632070,0,53636
4011,98,0,0,0
2809,27,76,0,0
4399,191,186673,0,0
6505,246,227854,0,122
7028,362,470491,0,15612
6372,194,362261,5,22816
5519,105,214561,0,0
13738,576,648132,0,49808
4845,88,12,0,0
3376,35,11,0,0
5363,197,172336,0,0
10627,285,283108,0,152
7962,298,443542,0,16463
7697,339,455819,0,0
5696,122,154960,0,0
15936,543,611378,0,45760
11842,188,251696,0,4173
8253,188,304924,0,4240
8761,147,453131,10956,4937
7336,168,346029,0,4989
8775,174,401518,0,4607
8184,117,321333,16206,4708
8458,155,248346,0,4982
9562,124,403041,0,5992
8228,155,386303,0,4500
8602,170,417628,0,5587
11034,180,303841,0,3363
13261,163,328101,0,6610
11239,0,595929,0,0
7303,0,596923,0,0
7720,0,712803,0,0
8700,0,644560,0,0
7054,0,396529,0,0
6593,0,362535,0,0
6725,0,308800,0,0
234,0,6835,0,0
6805,0,367289,0,0
6600,0,366320,0,0
6752,0,371425,0,0
9179,0,489855,0,0
10698,0,541705,0,0
2804,29,111,0,0
2650,63,80655,0,0
11074,313,481799,0,0
7546,190,107272,0,0
4130,52,70338,0,0
1934,6,22,0,0
2181,33,13788,0,0
7451,320,482731,0,0
5349,223,195579,0,0
3451,40,101029,0,0
2269,19,82,0,0
2740,61,15688,0,0
9814,323,599240,0,0
7183,219,412172,0,0
3851,48,102726,0,0
2687,25,17,0,0
3262,70,21988,0,0
10615,328,599166,0,0
7707,172,384706,0,0
3859,99,104549,0,0
2447,24,8432,0,0
0,0,13777,0,0
2368,88,15891,0,0
0,0,77650,0,0
0,0,30112,0,0
8051,208,361573,0,0
6431,218,237117,0,0
852,12,30655,0,0
3064,73,71414,0,0
2237,13,1,0,0
2951,73,42322,0,0
8298,253,564433,0,0
6882,162,401361,0,0
2523,9,38838,0,0
3658,40,16602,0,0
0,0,23906,0,0
2694,11,161,0,0
251,3,0,0,0
3001,55,50160,0,0
10473,230,606621,0,0
6832,176,366890,0,0
2894,25,65643,0,0
4077,37,71178,0,0
227,0,23207,0,0
2587,24,152,0,0
227,0,0,0,0
2793,68,141306,0,0
9070,319,374461,0,0
6812,217,269372,0,0
1991,6,18899,0,0
3443,63,52410,0,0
1795,26,52,0,0
2619,91,156417,0,0
7074,286,450211,0,0
6682,233,474985,0,0
837,15,4687,0,0
2772,68,14231,0,0
1676,21,2,0,0
2223,48,118363,0,0
6933,330,440293,0,0
6686,279,440553,0,0
807,37,3899,0,0
2436,34,41230,0,0
1881,21,85,0,0
2160,86,156433,0,0
6635,296,401404,0,0
7285,255,450789,0,0
848,36,13287,0,0
1962,37,31329,0,0
2710,15,45,0,0
3252,49,143087,0,0
11646,380,374244,0,0
11508,209,391014,0,0
2389,30,11040,0,0
3535,51,11223,0,0
0,0,0,0,0
0,0,0,0,0
0,0,189599,0,0
0,0,0,0,0
0,0,0,0,0
0,0,99739,0,0
0,0,100620,0,0
0,0,0,0,0
0,0,0,0,0
0,0,287034,0,0
0,0,0,0,0
6964,325,125025,0,0
4444,120,55883,0,0
8363,275,124674,0,0
2591,55,64569,0,0
7846,256,94298,0,0
8525,157,215868,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5657,313,75388,0,0
3527,166,24721,0,0
6603,279,160733,0,2
2206,47,75022,0,0
6696,136,163746,0,0
7135,171,230327,0,0
5940,472,165681,0,0
315,21,0,0,0
7649,287,189596,0,0
2421,68,109609,0,0
6940,151,184007,0,0
7339,261,248852,0,0
0,0,0,0,0
6202,461,227791,0,0
7744,258,151333,0,0
2395,113,99629,0,0
0,0,0,0,0
5391,145,189031,0,0
6265,196,245696,0,0
6210,411,243068,0,0
7437,372,163140,0,0
2267,75,102579,0,0
5788,156,160960,0,0
6329,235,259402,0,0
0,0,0,0,0
6069,351,222760,0,0
7442,286,148626,0,0
2394,82,83928,0,0
5205,179,154803,0,0
5789,162,215638,0,0
16,15,7516,0,0
6504,384,259143,0,0
8033,370,104378,0,0
2627,83,65583,0,0
5710,219,99078,0,0
6500,147,118030,0,0
6567,362,175748,0,0
7832,247,177613,0,0
2661,49,124108,0,0
5793,166,161295,0,0
6441,164,222478,0,0
5506,385,79989,0,0
7150,373,169273,0,0
2326,66,109441,0,0
5117,166,139469,0,0
5014,142,179838,7964,0
5658,398,109641,0,0
7081,310,185214,0,0
