"pagos","gratis","carga.paga","carga.gratis","correio"
263,0,592,0,0
1190,79,12315,0,0
7977,307,255802,0,105430
4420,193,132600,0,31768
6760,215,238747,6211,80450
4172,56,109761,0,40466
4557,65,4092,0,0
5259,125,81058,0,5429
3135,25,4,0,0
13212,361,137495,0,58364
19776,599,610075,0,20117
1311,64,6592,0,0
6827,243,244089,0,79441
5224,226,119643,742,33665
6613,204,226439,0,47133
4650,81,142653,0,29256
3992,64,2819,0,0
4468,128,87599,0,0
2932,25,880,0,0
9561,359,143689,0,56835
19487,662,719393,0,19516
0,0,0,0,0
6668,341,272104,0,89336
4095,218,166061,0,35828
5712,146,227591,0,50523
5911,113,189899,0,65109
3732,69,1895,0,0
3261,126,107846,0,0
2310,36,550,0,0
6185,336,163439,0,65880
15553,624,734120,0,18681
7023,336,346173,0,83375
3530,214,123397,0,34805
5465,152,251158,0,53214
5603,122,239766,0,51207
3823,93,855,0,0
3373,130,113287,0,0
1720,22,602,0,0
5731,333,147937,0,53583
14769,576,718921,0,13664
142,25,6545,0,0
0,0,0,0,0
7352,401,295851,0,79793
4996,215,105891,0,31315
6857,162,293059,0,35680
0,0,0,0,0
6207,100,259482,0,51188
4227,79,121,0,0
0,0,0,0,0
3856,137,88602,0,0
2672,27,187,0,0
6405,322,161637,0,59773
18808,659,643502,0,14795
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
200,11,6430,0,19
229,6,7531,0,484
7119,511,255067,0,89973
0,0,0,0,0
4545,208,66811,0,35536
6545,219,288864,0,16340
6764,119,279778,523,45038
3686,215,730,0,0
3672,153,119585,0,0
2345,34,642,0,0
5178,305,139923,0,46523
18063,653,719380,0,24387
0,0,0,0,0
0,0,0,0,0
156,6,17486,0,0
6613,492,291626,0,69658
0,0,0,0,0
5830,187,74557,0,26456
7287,241,300323,0,18372
7680,105,341800,0,27577
4091,77,500,0,0
4175,153,101630,0,0
2556,36,370,0,0
6445,315,181468,0,42666
17995,563,750417,0,18661
0,0,0,0,0
6692,489,266674,0,79085
5109,222,92157,0,27554
7160,225,307619,0,19479
6273,121,288896,0,41662
3239,95,748,0,0
2659,98,76126,0,0
1637,35,691,0,0
6888,327,147311,0,39900
16688,662,692093,0,25663
6160,325,275395,416,70783
4105,159,109725,0,21724
6828,175,328655,0,11052
5798,120,188569,0,40655
3585,80,1393,0,0
2327,36,4528,0,0
5746,297,118596,0,36303
13794,528,521317,0,21073
180,6,16954,0,0
6239,369,253133,0,81242
4003,168,81718,0,21286
7112,189,399065,0,10812
5597,91,206629,0,68593
3870,65,1161,0,0
2257,37,1111,0,0
6424,328,166448,0,39787
13879,537,475025,0,23187
225,13,8429,0,0
338,12,28143,0,0
0,0,0,0,0
7259,416,232439,0,73800
252,5,2926,0,1178
4434,128,96700,0,22896
7514,222,298754,0,11769
6283,134,165145,0,65108
4010,97,791,0,0
2872,43,260,0,0
6415,201,151899,0,37831
14158,443,499726,0,32444
7587,504,227183,0,89960
5960,258,93932,0,22907
7618,312,231849,0,22416
4947,142,168291,0,55028
4511,84,935,0,0
2687,37,949,0,0
9973,341,148686,0,49556
14521,636,501766,0,39634
538,21,30952,0,156
11226,168,209737,0,102388
8772,160,205591,0,76329
7969,155,216839,0,64126
8018,173,244853,0,72023
7860,150,265800,0,32952
8073,132,241679,0,28443
8587,143,291014,0,42919
270,6,7246,0,194
8231,166,298392,0,47802
7939,155,279856,0,27459
8887,176,277875,0,24531
253,4,13685,0,200
11336,192,216747,0,42384
12835,229,152318,0,101507
7889,67,156195,4726,0
1954,32,55,0,0
3354,18,19410,0,0
6741,49,144891,5055,0
1831,10,3080,0,0
3171,27,25785,0,0
6508,53,171694,2783,0
1405,13,10980,0,0
2659,22,47261,0,0
7215,40,146001,5031,0
1154,17,9570,0,0
2400,25,35510,0,0
8471,43,136237,4558,0
1535,13,6525,0,0
3160,16,38950,0,0
284,1,0,0,0
292,1,12402,0,0
8326,74,118517,9365,0
2324,31,36520,0,0
2956,26,35234,0,0
269,2,925,0,0
