Respondente	Renda	Voos
1	1	3
2	1	1
3	4	3
4	1	1
5	1	1
6	1	1
7	1	2
8	4	3
9	1	1
10	3	3
11	1	1
12	3	2
13	1	1
14	1	2
15	3	2
16	2	1
17	4	3
18	1	1
19	4	3
20	3	1
21	4	2
22	1	2
23	1	1
24	4	3
25	2	1
26	4	3
27	1	1
28	3	2
29	3	1
30	1	2
31	1	1
32	3	3
33	2	1
34	3	3
35	1	1
36	4	2
37	1	2
38	2	3
39	1	1
40	4	3
41	3	3
42	1	1
43	1	1
44	4	3
45	2	2
46	3	3
47	4	3
48	1	1
49	3	2
50	1	2
51	4	1
52	2	2
53	3	2
54	2	1
55	1	2
56	4	3
57	3	2
58	1	2
59	1	1
60	4	3
61	2	2
62	4	3
63	4	2
64	1	2
65	1	2
66	1	1
67	3	1
68	3	2
69	2	2
70	3	3
71	1	2
72	1	1
73	3	3
74	1	2
75	3	2
76	2	2
77	1	2
78	3	3
79	2	1
80	3	3
81	2	1
82	4	2
83	3	3
84	4	3
85	4	1
86	1	1
87	4	3
88	3	1
89	1	3
90	3	1
91	4	2
92	1	2
93	3	3
94	3	1
95	2	1
96	3	3
97	1	2
98	3	1
99	2	1
100	4	3



Nomenclatura

Renda em R$
Renda [1]: Menos de 5.000
Renda [2]: 5.000 - 10.000
Renda [3]: 10.000 – 20.000
Renda [4]: Acima de 20.000

Frequência dos Voos
Voos [1]: Nunca
Voos [2]: Raramente
Voos [3]: Frequentemente



